E,M
278, -82
278, -80
280, -82
280, -82
278, -80
278, -80
278, -82
274, -84
276, -86
274, -88
274, -88
274, -88
274, -88
270, -90
270, -92
270, -92
272, -94
272, -92
270, -94
274, -92
272, -94
272, -94
272, -94
272, -96
272, -96
272, -96
272, -96
272, -96
272, -96
276, -94
276, -94
276, -92
272, -94
272, -92
272, -92
272, -92
272, -92
274, -94
274, -94
274, -94
274, -92
274, -94
272, -96
272, -94
272, -92
272, -92
272, -92
274, -94
274, -96
274, -96
274, -98
276, -96
276, -96
276, -96
272, -94
272, -94
272, -94
270, -96
266, -98
268, -100
266, -102
266, -100
266, -100
268, -102
266, -104
266, -104
266, -104
266, -102
266, -102
264, -104
262, -102
262, -102
262, -100
262, -100
262, -102
258, -100
262, -98
262, -96
262, -98
262, -100
262, -100
262, -98
262, -98
260, -100
260, -100
262, -98
262, -98
262, -98
262, -98
262, -98
262, -100
266, -98
268, -100
268, -100
270, -102
270, -100
270, -98
270, -98
270, -96
270, -96
268, -94
268, -92
268, -90
268, -90
268, -90
270, -92
270, -94
268, -92
268, -92
268, -90
268, -90
270, -88
272, -86
272, -86
270, -84
272, -82
