M1, M2
1.00000, 0.53740
1.00000, 0.53520
1.00000, 0.53360
1.00000, 0.53260
1.00000, 0.53560
1.00000, 0.53380
1.00000, 0.53340
1.00000, 0.53400
1.00000, 0.53460
1.00000, 0.53340
1.00000, 0.53040
1.00000, 0.53260
1.00000, 0.53200
1.00000, 0.53440
1.00000, 0.53660
1.00000, 0.53780
1.00000, 0.53960
1.00000, 0.54280
1.00000, 0.54040
1.00000, 0.54260
1.00000, 0.54400
1.00000, 0.54540
1.00000, 0.54540
1.00000, 0.54540
1.00000, 0.54460
1.00000, 0.54580
1.00000, 0.55060
1.00000, 0.55380
1.00000, 0.55700
1.00000, 0.55780
1.00000, 0.56100
1.00000, 0.56160
1.00000, 0.56620
1.00000, 0.56820
1.00000, 0.56980
1.00000, 0.56700
1.00000, 0.56880
1.00000, 0.57000
1.00000, 0.56960
1.00000, 0.57100
1.00000, 0.57500
1.00000, 0.57860
1.00000, 0.57760
1.00000, 0.57780
1.00000, 0.58420
1.00000, 0.58460
1.00000, 0.58400
1.00000, 0.58640
1.00000, 0.58640
1.00000, 0.58620
1.00000, 0.58680
1.00000, 0.58520
1.00000, 0.58680
1.00000, 0.58700
1.00000, 0.59140
1.00000, 0.59000
1.00000, 0.59120
1.00000, 0.59000
1.00000, 0.59200
1.00000, 0.59340
1.00000, 0.59180
1.00000, 0.59200
1.00000, 0.59340
1.00000, 0.59160
1.00000, 0.59360
1.00000, 0.59380
1.00000, 0.59640
1.00000, 0.59620
1.00000, 0.59660
1.00000, 0.59680
1.00000, 0.59560
1.00000, 0.59560
1.00000, 0.59480
1.00000, 0.59900
1.00000, 0.59840
1.00000, 0.60280
1.00000, 0.59800
1.00000, 0.59960
1.00000, 0.59920
1.00000, 0.59880
1.00000, 0.60300
1.00000, 0.60400
1.00000, 0.60620
1.00000, 0.60740
1.00000, 0.60940
1.00000, 0.60880
1.00000, 0.61060
1.00000, 0.61000
1.00000, 0.61260
1.00000, 0.61360
1.00000, 0.61320
1.00000, 0.61360
1.00000, 0.61860
1.00000, 0.62060
1.00000, 0.62140
1.00000, 0.62500
1.00000, 0.62520
1.00000, 0.62620
1.00000, 0.62700
1.00000, 0.63040
1.00000, 0.62860
1.00000, 0.62900
1.00000, 0.62780
1.00000, 0.63160
1.00000, 0.63280
1.00000, 0.63340
1.00000, 0.63680
1.00000, 0.63980
1.00000, 0.63800
1.00000, 0.63720
1.00000, 0.63780
1.00000, 0.64180
1.00000, 0.64380
1.00000, 0.64620
1.00000, 0.64640
1.00000, 0.64720
1.00000, 0.65000
1.00000, 0.64920
1.00000, 0.65000
1.00000, 0.64780
1.00000, 0.65000
1.00000, 0.65040
1.00000, 0.65040
1.00000, 0.65140
1.00000, 0.65180
1.00000, 0.65320
1.00000, 0.65480
1.00000, 0.65320
1.00000, 0.65220
1.00000, 0.65280
1.00000, 0.65320
1.00000, 0.65540
1.00000, 0.65440
1.00000, 0.65440
1.00000, 0.65340
1.00000, 0.65440
1.00000, 0.65800
1.00000, 0.65880
1.00000, 0.65680
1.00000, 0.65880
1.00000, 0.65960
1.00000, 0.66040
1.00000, 0.66300
1.00000, 0.66320
1.00000, 0.66340
1.00000, 0.66420
1.00000, 0.66600
1.00000, 0.66600
1.00000, 0.66580
1.00000, 0.66740
1.00000, 0.66760
1.00000, 0.66660
1.00000, 0.66800
1.00000, 0.66900
1.00000, 0.67100
1.00000, 0.67320
1.00000, 0.67440
